timestamp,latency_ms
1756294007.1632776,550.81
1756294007.5730653,759.37
1756294007.7775788,560.59
1756294009.005656,784.86
1756294009.2101336,582.84
1756294009.2108293,583.29
1756294009.4151514,587.09
1756294009.8244932,794.65
1756294011.052379,866.88
1756294011.2568998,619.76
1756294011.2573109,620.01
1756294011.4619217,624.01
1756294011.6667752,627.89
1756294013.1006637,417.35
1756294013.1050174,-76.22
1756294013.1056564,-75.81
1756294013.1517181,-75.34
1756294013.406704,-16.76
1756294014.6348393,-34.33
1756294014.8395438,48.72
1756294015.0443234,56.14
1756294015.2489421,56.13
1756294015.4536843,66.85
1756294016.6819,51.82
1756294016.7696538,-9.44
1756294016.9890323,37.22
1756294017.193552,12.6
1756294017.3984354,47.67
1756294018.626218,42.34
1756294018.8309622,96.46
1756294019.0355682,97.3
1756294019.2405252,97.9
1756294019.444956,138.62
1756294020.6733432,138.89
1756294020.7604117,77.56
1756294020.9803739,97.04
1756294021.1850553,101.57
1756294021.3897116,105.69
1756294022.6181722,132.33
1756294022.822523,188.08
1756294023.027454,192.66
1756294023.2319045,197.05
1756294023.4365768,200.54
1756294024.6649854,228.18
1756294024.7523613,166.11
1756294024.9718928,185.01
1756294025.1775184,191.24
1756294025.3816302,195.28
1756294026.6094615,224.86
1756294026.8141823,284.0
1756294027.0189812,290.73
1756294027.2236114,296.78
1756294027.4282672,300.68
1756294028.6565325,327.36
1756294028.7471154,274.14
1756294028.9635956,294.55
1756294029.1690574,301.31
1756294029.3744035,307.92
1756294030.703392,429.61
1756294030.7455955,330.1
1756294031.0104766,398.84
1756294031.2151823,403.77
1756294031.4204774,412.59
1756294032.6480417,428.3
1756294032.8526945,490.47
1756294032.949792,392.88
1756294033.1600888,404.05
1756294033.7738178,818.47
1756294035.0018153,829.19
1756294035.0021465,580.99
1756294035.206211,634.91
1756294035.4112723,639.49
1756294035.6156058,642.16
1756294036.8441334,707.85
1756294037.0485694,669.72
1756294037.253563,672.8
1756294037.4580073,677.86
1756294037.6630325,681.19
1756294038.8910136,770.21
1756294039.095558,708.28
1756294039.3003316,711.96
1756294039.5049713,710.12
1756294039.7098536,719.85
1756294041.1424587,1064.97
1756294041.1427693,645.17
1756294041.1510549,653.14
1756294041.1778276,574.24
1756294041.4498096,647.64
1756294042.6784153,390.92
1756294042.7674997,328.63
